Date,TCS,Infosys,Reliance,HDFC Bank,ITC
2020-01-01,605.5293579101562,633.1510620117188,173.3952178955078,675.32421875,1841.1497802734375
2020-01-02,609.3890991210938,631.3037109375,174.66964721679688,686.8212280273438,1832.698486328125
2020-01-03,600.6988525390625,641.0134887695312,173.68650817871094,687.6488037109375,1869.22216796875
2020-01-06,587.6987915039062,634.86962890625,171.21047973632812,671.70068359375,1869.0521240234375
2020-01-07,597.0048217773438,625.4606323242188,171.39254760742188,682.0345458984375,1873.639404296875
2020-01-08,595.4419555664062,617.1258544921875,170.55506896972656,676.912353515625,1915.5994873046875
2020-01-09,602.1195678710938,625.1599731445312,171.72024536132812,692.5025634765625,1880.8592529296875
2020-01-10,607.4711303710938,634.2681274414062,173.32237243652344,692.3460083007812,1880.17919921875
2020-01-13,609.033935546875,664.6862182617188,174.23268127441406,690.5790405273438,1860.4735107421875
2020-01-14,610.6914672851562,666.49072265625,177.14564514160156,684.181884765625,1874.531005859375
2020-01-15,608.2051391601562,659.5305786132812,176.52667236328125,681.698974609375,1891.5191650390625
2020-01-16,609.8153686523438,659.0580444335938,175.32505798339844,687.9842529296875,1901.626708984375
2020-01-17,605.3162841796875,659.7883911132812,174.74244689941406,707.2653198242188,1884.8936767578125
2020-01-20,594.3053588867188,660.303955078125,176.16253662109375,685.5015869140625,1843.48583984375
2020-01-21,589.30908203125,655.1913452148438,173.65011596679688,686.1949462890625,1844.080078125
2020-01-22,587.6514282226562,661.8077392578125,173.35879516601562,685.9488525390625,1874.531005859375
2020-01-23,589.5457763671875,673.96630859375,173.2495574951172,683.0411376953125,1865.2086181640625
2020-01-24,589.40380859375,672.591552734375,173.43161010742188,680.6700439453125,1858.78125
2020-01-27,574.5567626953125,668.5958862304688,170.84634399414062,673.9598388671875,1846.735107421875
2020-01-28,579.2926025390625,668.5100708007812,168.04258728027344,658.391845703125,1859.0791015625
2020-01-29,585.2835083007812,678.5634155273438,172.33924865722656,662.0155029296875,1834.263671875
2020-01-30,580.642333984375,670.8300170898438,170.44581604003906,645.8660278320312,1820.003173828125
2020-01-31,580.7608032226562,666.74853515625,171.24688720703125,631.506103515625,1769.9459228515625
2020-02-03,564.8955688476562,659.4017333984375,151.18373107910156,619.8077392578125,1789.9090576171875
2020-02-04,582.4182739257812,676.9737548828125,157.04612731933594,638.1044921875,1794.378173828125
2020-02-05,589.4510498046875,674.13818359375,157.6287078857422,647.9909057617188,1827.4105224609375
2020-02-06,587.1541748046875,662.7958374023438,155.5167999267578,652.1513061523438,1811.9161376953125
2020-02-07,588.2907104492188,667.908447265625,155.4075469970703,641.3477783203125,1818.896484375
2020-02-10,587.3909912109375,664.385498046875,153.33204650878906,642.2201538085938,1840.520263671875
2020-02-11,587.5330200195312,664.6862182617188,154.82493591308594,649.8922729492188,1833.24169921875
2020-02-12,591.51123046875,671.1307373046875,155.1526641845703,657.7432861328125,1848.0128173828125
2020-02-13,587.9119873046875,680.7545166015625,154.31517028808594,659.4655151367188,1866.060546875
2020-02-14,577.4692993164062,675.7708129882812,151.25657653808594,665.4824829101562,1859.4627685546875
2020-02-17,576.427490234375,678.3485717773438,149.14466857910156,661.2996826171875,1875.6802978515625
2020-02-18,574.5803833007812,685.3945922851562,148.4528045654297,656.4458618164062,1886.3216552734375
2020-02-19,581.1868896484375,687.800537109375,150.52830505371094,672.7295532226562,1869.8060302734375
2020-02-20,576.4036865234375,684.8360595703125,151.07449340820312,664.744384765625,1836.135986328125
2020-02-24,573.0175170898438,683.8478393554688,147.83380126953125,646.4028930664062,1800.8492431640625
2020-02-25,568.4474487304688,686.0391235351562,146.95989990234375,633.6309814453125,1835.5826416015625
2020-02-26,567.9502563476562,672.591552734375,144.62953186035156,622.7155151367188,1807.872314453125
2020-02-27,568.044921875,668.381103515625,143.86483764648438,620.1432495117188,1792.462890625
2020-02-28,557.720703125,628.7259521484375,143.86483764648438,594.3756713867188,1702.776123046875
2020-03-02,558.6441650390625,636.760009765625,142.22630310058594,588.7838745117188,1703.75537109375
2020-03-03,559.6860961914062,641.8726196289062,141.1703643798828,600.7280883789062,1733.4664306640625
2020-03-04,544.0814208984375,651.9690551757812,136.54600524902344,599.3189697265625,1773.478515625
2020-03-05,545.2653198242188,648.4031982421875,136.94654846191406,586.5470581054688,1809.1065673828125
2020-03-06,537.474853515625,634.95556640625,132.3585662841797,568.585693359375,1801.7850341796875
2020-03-09,524.40380859375,605.310791015625,129.04505920410156,498.41845703125,1679.109375
2020-03-11,527.4820556640625,589.45751953125,127.91629791259766,516.044189453125,1663.2320556640625
2020-03-12,483.6752014160156,542.3694458007812,113.46061706542969,475.53631591796875,1506.716064453125
2020-03-13,506.6442565917969,551.9503173828125,118.15780639648438,494.4593811035156,1537.7471923828125
2020-03-16,473.3509826660156,501.08184814453125,107.23411560058594,454.3765563964844,1444.1865234375
2020-03-17,461.79547119140625,476.85040283203125,108.61779022216797,450.931884765625,1411.49560546875
2020-03-18,415.2891845703125,459.1065368652344,109.74657440185547,433.2615051269531,1408.430908203125
2020-03-19,424.12158203125,468.7733154296875,117.86651611328125,410.53594970703125,1403.24267578125
